# sheet: Sheet1
Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
10.0,10876.0,"Pork, cured, ham with natural juices, spiral slice","Baked or Roasted, unspecified",87.0,3.0,7.557,78.65,93.0,-11.8,0.01,2009.0
10.0,10883.0,"Pork, cured, ham with natural juices, whole, boneless","Baked or Roasted, unspecified",94.0,9.0,1.64,91.22,95.54,-6.11,-0.33,2009.0
10.0,10931.0,"Pork, cured, ham, rump, bone-in","Baked or Roasted, unspecified",90.0,3.0,1.287,88.85,91.39,-8.65,-0.2,2009.0
10.0,10933.0,"Pork, cured, ham, shank, bone-in","Baked or Roasted, unspecified",92.0,3.0,1.595,90.25,93.35,-8.0,0.18,2009.0
10.0,10899.0,"Pork, cured, ham, slice, bone-in",Pan-broiled,86.0,3.0,2.596,83.13,88.15,-13.75,-0.07,2009.0
10.0,10867.0,"Pork, cured, ham--water added, shank, bone-in","Baked or Roasted, unspecified",86.0,6.0,6.117,75.81,92.68,-16.39,1.87,2009.0
10.0,10868.0,"Pork, cured, ham--water added, slice, bone-in",Pan-broiled,80.0,7.0,5.937,76.21,90.93,-21.6,1.26,2009.0
10.0,10879.0,"Pork, cured, ham--water added, whole, boneless","Baked or Roasted, unspecified",94.0,10.0,4.3,83.12,97.84,-5.94,0.25,2009.0
10.0,10988.0,"Pork, fresh, blade, (chops), boneless, separable lean and fat ",Broiled or Grilled,85.0,12.0,3.12,78.0,90.0,-23.3,0.3,2011.0
10.0,10950.0,"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat",Broiled,82.0,1.0,n/a,n/a,n/a,-6.11,-0.67,2014.0
10.0,10013.0,"Pork, fresh, leg (ham), rump half, separable lean and fat ","Baked or Roasted, unspecified",77.0,12.0,3.85,70.0,80.0,-21.2,-2.7,2011.0
10.0,10017.0,"Pork, fresh, leg (ham), shank half, separable lean and fat ","Baked or Roasted, unspecified",79.0,12.0,2.98,68.5,82.0,-19.9,-1.3,2011.0
10.0,10962.0,"Pork, fresh, leg sirloin tip roast, boneless, separable lean and fat",Braised,79.0,4.0,4.532,72.09,82.12,-21.53,0.01,2009.0
10.0,10029.0,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat ",Braised,78.0,12.0,5.28,65.0,93.0,-27.8,6.5,2011.0
10.0,10030.0,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat ",Broiled or Grilled,83.0,12.0,3.12,78.0,90.0,-16.3,-0.3,2011.0
10.0,10178.0,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat ",Pan-fried,82.0,12.0,4.68,68.0,97.0,-20.0,1.3,2011.0
10.0,10031.0,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat ","Baked or Roasted, unspecified",77.0,12.0,3.0,68.0,88.0,-22.2,0.6,2011.0
10.0,10990.0,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat ","Baked or Roasted, unspecified",75.0,12.0,5.85,68.0,88.0,-22.4,-0.2,2011.0
10.0,10037.0,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat ",Braised,74.0,12.0,4.75,67.0,85.0,-21.5,2.2,2011.0
10.0,10179.0,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat ",Pan-fried,76.0,12.0,4.61,58.0,84.0,-25.4,1.1,2011.0
10.0,10189.0,"Pork, fresh, loin, center loin (chops), boneless, separable lean and fat",Pan broiled,80.0,1.0,n/a,n/a,n/a,-16.42,-2.11,2014.0
10.0,10039.0,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat ","Baked or Roasted, unspecified",77.0,12.0,6.38,63.0,88.0,-23.3,0.9,2011.0
10.0,10045.0,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat ",Braised,77.0,12.0,4.23,68.0,89.0,-19.3,3.0,2011.0
10.0,10180.0,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat ",Pan-fried,77.0,12.0,4.23,68.0,87.0,-23.7,1.1,2011.0
10.0,10047.0,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat ","Baked or Roasted, unspecified",75.0,12.0,4.68,65.0,84.0,-24.7,-0.1,2011.0
10.0,10956.0,"Pork, fresh, loin, leg cap steak, boneless, separable lean and fat",Broiled or Grilled,81.0,1.0,n/a,n/a,n/a,-19.48,0.2,2009.0
10.0,10053.0,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat ",Braised,73.0,12.0,3.17,68.0,79.0,-27.0,0.1,2011.0
10.0,10211.0,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat ",Braised,76.0,12.0,4.93,61.0,87.0,-22.7,0.1,2011.0
