retention_code,food_group_code,retention_description,nutrient_code,nutrient_description,retention_percent,add_mod_date
0105,01,"EGGS,HARD COOKED",322,"Carotene, alpha",100,09/1975
0105,01,"EGGS,HARD COOKED",334,"Cryptoxanthin, beta",100,09/1975
0105,01,"EGGS,HARD COOKED",337,Lycopene,100,09/1975
0105,01,"EGGS,HARD COOKED",338,Lutein + zeaxanthin,100,09/1975
0107,01,"EGGS,POACHED",301,"Calcium, Ca",100,09/1975
0107,01,"EGGS,POACHED",303,"Iron, Fe",100,09/1975
0107,01,"EGGS,POACHED",304,"Magnesium, Mg",100,09/1975
0107,01,"EGGS,POACHED",305,"Phosphorus, P",100,09/1975
0107,01,"EGGS,POACHED",306,"Potassium, K",100,09/1975
0107,01,"EGGS,POACHED",307,"Sodium, Na",100,09/1975
0107,01,"EGGS,POACHED",309,"Zinc, Zn",100,09/1975
0107,01,"EGGS,POACHED",312,"Copper, Cu",100,09/1975
0107,01,"EGGS,POACHED",401,"Vitamin C, total ascorbic acid",80,09/1975
0107,01,"EGGS,POACHED",404,Thiamin,80,09/1975
0107,01,"EGGS,POACHED",405,Riboflavin,85,09/1975
0107,01,"EGGS,POACHED",406,Niacin,85,09/1975
0107,01,"EGGS,POACHED",415,Vitamin B-6,85,09/1975
0107,01,"EGGS,POACHED",417,"Folate, total",75,09/1975
0107,01,"EGGS,POACHED",431,Folic acid,75,09/1975
0107,01,"EGGS,POACHED",432,"Folate, food",75,09/1975
0107,01,"EGGS,POACHED",421,"Choline, total",80,09/1975
0107,01,"EGGS,POACHED",418,Vitamin B-12,80,09/1975
0107,01,"EGGS,POACHED",318,"Vitamin A, IU",100,09/1975
0107,01,"EGGS,POACHED",392,"Vitamin A, RE",100,09/1975
0107,01,"EGGS,POACHED",221,"Alcohol, ethyl",100,09/1975
0107,01,"EGGS,POACHED",321,"Carotene, beta",100,09/1975
0107,01,"EGGS,POACHED",322,"Carotene, alpha",100,09/1975
0107,01,"EGGS,POACHED",334,"Cryptoxanthin, beta",100,09/1975
0107,01,"EGGS,POACHED",337,Lycopene,100,09/1975
0107,01,"EGGS,POACHED",338,Lutein + zeaxanthin,100,09/1975
0109,01,"EGGS,REHEATED",301,"Calcium, Ca",100,09/1975
0109,01,"EGGS,REHEATED",303,"Iron, Fe",100,09/1975
0109,01,"EGGS,REHEATED",304,"Magnesium, Mg",100,09/1975
0109,01,"EGGS,REHEATED",305,"Phosphorus, P",100,09/1975
0109,01,"EGGS,REHEATED",306,"Potassium, K",100,09/1975
0109,01,"EGGS,REHEATED",307,"Sodium, Na",100,09/1975
0109,01,"EGGS,REHEATED",309,"Zinc, Zn",100,09/1975
0109,01,"EGGS,REHEATED",312,"Copper, Cu",100,09/1975
0109,01,"EGGS,REHEATED",401,"Vitamin C, total ascorbic acid",95,09/1975
0109,01,"EGGS,REHEATED",404,Thiamin,95,09/1975
0109,01,"EGGS,REHEATED",405,Riboflavin,100,09/1975
0109,01,"EGGS,REHEATED",406,Niacin,100,09/1975
0109,01,"EGGS,REHEATED",415,Vitamin B-6,95,09/1975
0109,01,"EGGS,REHEATED",417,"Folate, total",95,09/1975
0109,01,"EGGS,REHEATED",431,Folic acid,95,09/1975
0109,01,"EGGS,REHEATED",432,"Folate, food",95,09/1975
0109,01,"EGGS,REHEATED",421,"Choline, total",85,09/1975
0109,01,"EGGS,REHEATED",418,Vitamin B-12,95,09/1975
0109,01,"EGGS,REHEATED",318,"Vitamin A, IU",100,09/1975
0109,01,"EGGS,REHEATED",392,"Vitamin A, RE",100,09/1975
0109,01,"EGGS,REHEATED",221,"Alcohol, ethyl",100,09/1975
0109,01,"EGGS,REHEATED",321,"Carotene, beta",100,09/1975
0109,01,"EGGS,REHEATED",322,"Carotene, alpha",100,09/1975
0109,01,"EGGS,REHEATED",334,"Cryptoxanthin, beta",100,09/1975
0109,01,"EGGS,REHEATED",337,Lycopene,100,09/1975
0109,01,"EGGS,REHEATED",338,Lutein + zeaxanthin,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",301,"Calcium, Ca",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",303,"Iron, Fe",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",304,"Magnesium, Mg",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",305,"Phosphorus, P",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",306,"Potassium, K",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",307,"Sodium, Na",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",309,"Zinc, Zn",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",312,"Copper, Cu",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",401,"Vitamin C, total ascorbic acid",45,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",404,Thiamin,60,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",405,Riboflavin,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",406,Niacin,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",415,Vitamin B-6,55,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",417,"Folate, total",70,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",431,Folic acid,70,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",432,"Folate, food",70,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",421,"Choline, total",60,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",418,Vitamin B-12,30,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",318,"Vitamin A, IU",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",392,"Vitamin A, RE",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",221,"Alcohol, ethyl",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",321,"Carotene, beta",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",322,"Carotene, alpha",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",334,"Cryptoxanthin, beta",100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",337,Lycopene,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",338,Lutein + zeaxanthin,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",301,"Calcium, Ca",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",303,"Iron, Fe",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",304,"Magnesium, Mg",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",305,"Phosphorus, P",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",306,"Potassium, K",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",307,"Sodium, Na",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",309,"Zinc, Zn",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",312,"Copper, Cu",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",401,"Vitamin C, total ascorbic acid",85,09/1975
